## Site Characteristics
Country     = 'Netherlands'
Station     = 'Wageningen, Haarweg'
Description = 'Observed data from Station Haarweg in Wageningen'
Source      = 'Meteorology and Air Quality Group, Wageningen University'
Contact     = 'Peter Uithol'
Longitude = 5.67; Latitude = 51.97; Elevation = 7; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200321,10,18,23,1,2.2,0,NaN
20200322,10,18,23,1,2.1,0,NaN
20200323,10,18,23,1,3.4,0,NaN
20200324,10,18,23,1,5.4,0.7,NaN
20200325,10,18,23,1,3.4,0,NaN
20200326,10,18,23,1,1.5,0,NaN
20200327,10,18,23,1,2.7,0,NaN
20200328,10,18,23,1,1.5,0.3,NaN
20200329,10,18,23,1,1.7,0,NaN
20200330,10,18,23,1,1.3,0,NaN
20200331,10,18,23,1,1.8,0,NaN
20200401,10,18,23,1,1.9,0,NaN
20200402,10,18,23,1,3.5,0,NaN
20200403,10,18,23,1,3.4,6.9,NaN
20200404,10,18,23,1,3.3,1.6,NaN
20200405,10,18,23,1,2.9,1.9,NaN
20200406,10,18,23,1,2.6,0.4,NaN
20200407,10,18,23,1,2.6,0,NaN
20200408,10,18,23,1,2.1,3.1,NaN
20200409,10,18,23,1,4.1,0.7,NaN
20200410,10,18,23,1,3.4,0,NaN
20200411,10,18,23,1,1.5,0,NaN
20200412,10,18,23,1,3.7,19.8,NaN
20200413,10,18,23,1,2.3,0,NaN
20200414,10,18,23,1,1.2,0,NaN
20200415,10,18,23,1,1.6,0,NaN
20200416,10,18,23,1,2.5,0,NaN
20200417,10,18,23,1,2.5,0,NaN
20200418,10,18,23,1,1.8,0,NaN
20200419,10,18,23,1,1.3,0,NaN
20200420,10,18,23,1,2.1,0,NaN
20200421,10,18,23,1,1.5,0,NaN
20200422,10,18,23,1,1.1,0,NaN
20200423,10,18,23,1,1.3,0,NaN
20200424,10,18,23,1,2.9,0,NaN
20200425,10,18,23,1,2,0,NaN
20200426,10,18,23,1,2.3,0.6,NaN
20200427,10,18,23,1,2.4,1.2,NaN
20200428,10,18,23,1,2.2,3.9,NaN
20200429,10,18,23,1,2.5,0,NaN
20200430,10,18,23,1,1.5,0,NaN
20200501,10,18,23,1,1.5,0,NaN
20200502,10,18,23,1,1.2,0,NaN
20200503,10,18,23,1,1.3,0,NaN
20200504,10,18,23,1,2.3,0,NaN
20200505,10,18,23,1,2.3,7,NaN
20200506,10,18,23,1,1.3,2.5,NaN
20200507,10,18,23,1,1.4,0,NaN
20200508,10,18,23,1,2.2,5.1,NaN
20200509,10,18,23,1,1.8,0,NaN
20200510,10,18,23,1,3.1,5.4,NaN
20200511,10,18,23,1,1.7,0.1,NaN
20200512,10,18,23,1,0.9,0,NaN
20200513,10,18,23,1,1.4,0,NaN
20200514,10,18,23,1,1.3,0,NaN
20200515,10,18,23,1,2.4,0,NaN
20200516,10,18,23,1,2.2,1.1,NaN
20200517,10,18,23,1,3.6,0,NaN
20200518,10,18,23,1,3.1,5.6,NaN
20200519,10,18,23,1,1.4,0.3,NaN
20200520,10,18,23,1,2.3,0,NaN
20200521,10,18,23,1,2.3,0,NaN
20200522,10,18,23,1,1.9,0,NaN
20200523,10,18,23,1,4.4,0.3,NaN
20200524,10,18,23,1,2.7,4.6,NaN
20200525,10,18,23,1,2.3,3.6,NaN
20200526,10,18,23,1,3.5,1.9,NaN
20200527,10,18,23,1,2.6,9.3,NaN
20200528,10,18,23,1,2.1,0,NaN
20200529,10,18,23,1,6.6,8.3,NaN
20200530,10,18,23,1,8.1,2.5,NaN
20200531,10,18,23,1,3.8,1.3,NaN
20200601,10,18,23,1,1.6,0,NaN
20201016,10,18,23,1,3.2,7.2,NaN
20201017,10,18,23,1,3.5,0,NaN
20201018,10,18,23,1,2.9,0,NaN
20201019,10,18,23,1,2.7,0.3,NaN
20201020,10,18,23,1,4.1,4,NaN
20201021,10,18,23,1,4.3,3.6,NaN
20201022,10,18,23,1,6.1,2.8,NaN
20201023,10,18,23,1,3.4,0.3,NaN
20201024,10,18,23,1,2,3.4,NaN
20201025,10,18,23,1,1.3,0,NaN
20201026,10,18,23,1,4.3,4.9,NaN
20201027,10,18,23,1,2.2,6.8,NaN
20201028,10,18,23,1,3.6,3.5,NaN
20201029,10,18,23,1,3.8,3.6,NaN
20201030,10,18,23,1,3.7,2.1,NaN
20201031,10,18,23,1,3.1,8.2,NaN
20201101,10,18,23,1,2.1,1.2,NaN
20201102,10,18,23,1,3.8,3.5,NaN
20201103,10,18,23,1,3,0.3,NaN
20201104,10,18,23,1,2.5,1,NaN
20201105,10,18,23,1,2.2,15.1,NaN
20201106,10,18,23,1,1.9,2.8,NaN
20201107,10,18,23,1,2.4,0,NaN
20201108,10,18,23,1,1.5,3.1,NaN
20201109,10,18,23,1,1.2,0.2,NaN
20201110,10,18,23,1,1.3,2,NaN
20201111,10,18,23,1,1.9,13.1,NaN
20201112,10,18,23,1,1.4,0,NaN
20201113,10,18,23,1,2.5,1.6,NaN
20201114,10,18,23,1,1.9,5.9,NaN
20201115,10,18,23,1,1.2,0,NaN
20201116,10,18,23,1,1.3,0,NaN
20201117,10,18,23,1,2.4,0,NaN
20201118,10,18,23,1,1.3,0,NaN
20201119,10,18,23,1,1.2,0,NaN
20201120,10,18,23,1,1.4,0,NaN
20201121,10,18,23,1,1.5,0,NaN
20201122,10,18,23,1,1.9,0,NaN
20201123,10,18,23,1,1.4,0,NaN
20201124,10,18,23,1,1.8,0,NaN
20201125,10,18,23,1,2,0,NaN
20201126,10,18,23,1,1.6,0,NaN
20201127,10,18,23,1,3,0,NaN
20201128,10,18,23,1,3.9,0,NaN
20201129,10,18,23,1,3.5,2,NaN
20201130,10,18,23,1,1.8,0.7,NaN
20201201,10,18,23,1,2.5,8,NaN
20201202,10,18,23,1,4,30.8,NaN
20201203,10,18,23,1,1.9,1.7,NaN
20201204,10,18,23,1,1.6,0.1,NaN
20201205,10,18,23,1,2,4.6,NaN
20201206,10,18,23,1,2.3,1.6,NaN
20201207,10,18,23,1,3.7,7.3,NaN
20201208,10,18,23,1,5.3,0,NaN
20201209,10,18,23,1,3.5,1.7,NaN
20201210,10,18,23,1,1.8,1.3,NaN
20201211,10,18,23,1,1.8,0,NaN
20201212,10,18,23,1,2.6,0.2,NaN
20201213,10,18,23,1,3.2,4.7,NaN
20201214,10,18,23,1,3.8,4.2,NaN
20201215,10,18,23,1,3.4,5.8,NaN
20201216,10,18,23,1,4.5,7.5,NaN
20201217,10,18,23,1,1.5,0,NaN
20201218,10,18,23,1,2.6,0,NaN
20201219,10,18,23,1,4.3,10.1,NaN
20201220,10,18,23,1,3.3,4.3,NaN
20201221,10,18,23,1,1.1,0,NaN
20201222,10,18,23,1,2,0,NaN
20201223,10,18,23,1,1,0,NaN
20201224,10,18,23,1,1.4,0,NaN
20201225,10,18,23,1,1.3,0,NaN
20201226,10,18,23,1,2.2,0,NaN
20201227,10,18,23,1,2.6,0,NaN
20201228,10,18,23,1,2.1,0,NaN
20201229,10,18,23,1,3.3,0,NaN
20201230,10,18,23,1,3.1,4.8,NaN
20201231,10,18,23,1,3.3,0.1,NaN
20210101,10,18,23,1,5.7,0.6,NaN
20210102,10,18,23,1,4.6,6.7,NaN
20210103,10,18,23,1,5.5,0.2,NaN
20210104,10,18,23,1,3.3,5.2,NaN
20210105,10,18,23,1,1.8,0,NaN
20210106,10,18,23,1,2.5,0,NaN
20210107,10,18,23,1,2.8,0.7,NaN
20210108,10,18,23,1,3,1.3,NaN
20210109,10,18,23,1,5.8,5.2,NaN
20210110,10,18,23,1,5.8,0.6,NaN
20210111,10,18,23,1,4.3,24.3,NaN
20210112,10,18,23,1,3.7,4.8,NaN
20210113,10,18,23,1,2.9,2.6,NaN
20210114,10,18,23,1,3.4,2.4,NaN
20210115,10,18,23,1,2.4,0,NaN
20210116,10,18,23,1,2.8,0.5,NaN
20210117,10,18,23,1,3.9,5.8,NaN
20210118,10,18,23,1,2.3,0.6,NaN
20210119,10,18,23,1,1.9,2.4,NaN
20210120,10,18,23,1,2.2,1.8,NaN
20210121,10,18,23,1,3.5,0.2,NaN
20210122,10,18,23,1,3,0,NaN
20210123,10,18,23,1,3.4,0.2,NaN
20210124,10,18,23,1,2.7,0,NaN
20210125,10,18,23,1,4.2,0.4,NaN
20210126,10,18,23,1,3.4,0,NaN
20210127,10,18,23,1,0.9,0,NaN
20210128,10,18,23,1,1.8,0,NaN
20210129,10,18,23,1,3.9,0,NaN
20210130,10,18,23,1,5.7,0,NaN
20210131,10,18,23,1,4.7,0,NaN
20210201,10,18,23,1,3.5,0,NaN
20210202,10,18,23,1,4.2,0.8,NaN
20210203,10,18,23,1,2.8,13.2,NaN
20210204,10,18,23,1,2.6,0.9,NaN
20210205,10,18,23,1,3,0.1,NaN
20210206,10,18,23,1,2.4,0.1,NaN
20210207,10,18,23,1,2.6,0,NaN
20210208,10,18,23,1,3.8,17.6,NaN
20210209,10,18,23,1,5.5,8.4,NaN
20210210,10,18,23,1,4.2,0,NaN
20210211,10,18,23,1,4.9,4.4,NaN
20210212,10,18,23,1,3.4,0.5,NaN
20210213,10,18,23,1,5.5,0.5,NaN
20210214,10,18,23,1,1.7,0,NaN
20210215,10,18,23,1,3.1,0,NaN
20210216,10,18,23,1,3,3.4,NaN
20210217,10,18,23,1,1.8,4,NaN
20210218,10,18,23,1,0.9,0,NaN
20210219,10,18,23,1,1.2,0,NaN
20210220,10,18,23,1,2.7,0,NaN
20041102,1728,21,21,1,3,0.5,NaN
20041103,3197,21,21,1,1.5,2.3,NaN
20041104,3456,21,21,1,2,0,NaN
20041105,5011,21,21,1,3.1,0,NaN
20041106,2765,21,21,1,2,1.1,NaN
20041107,4666,21,21,1,1,0,NaN
20041108,2160,21,21,1,1.6,0,NaN
20041109,6221,21,21,1,1.9,0.1,NaN
20041110,1210,21,21,1,2.3,11.3,NaN
20041111,1555,21,21,1,1.4,0,NaN
20041112,3370,21,21,1,3.1,2.8,NaN
20041113,5270,21,21,1,2,1,NaN
20041114,4752,21,21,1,0.8,0,NaN
20041115,432,21,21,1,2.8,0,NaN
20041116,778,21,21,1,3.6,0.6,NaN
20041117,950,21,21,1,6.2,8,NaN
20041118,778,21,21,1,4.4,24.2,NaN
20041119,3197,21,21,1,3.6,7.8,NaN
20041120,3197,21,21,1,3.1,2.6,NaN
20041121,2074,21,21,1,2.4,2.7,NaN
20041122,1123,21,21,1,6.1,1.9,NaN
20041123,3456,21,21,1,2.3,0.8,NaN
20041124,4234,21,21,1,1,0,NaN
20041125,2765,21,21,1,1.5,0,NaN
20041126,950,21,21,1,3.5,1.7,NaN
20041127,1555,21,21,1,2.2,0,NaN
20041128,691,21,21,1,2.4,7.5,NaN
20041129,950,21,21,1,0.7,0,NaN
20041130,2160,21,21,1,2.1,0,NaN
20041201,173,21,21,1,1.5,0.8,NaN
20041202,4061,21,21,1,1,0,NaN
20041203,950,21,21,1,1.1,0,NaN
20041204,1296,21,21,1,1.9,1.9,NaN
20041205,778,21,21,1,2,0,NaN
20041206,1037,21,21,1,2.4,0,NaN
20041207,691,21,21,1,1.8,0.3,NaN
20041208,1469,21,21,1,1.4,0,NaN
20041209,1469,21,21,1,2.2,0,NaN
20041210,778,21,21,1,1.7,0.1,NaN
20041211,691,21,21,1,1.4,0,NaN
20041212,778,21,21,1,2.7,0,NaN
20041213,432,21,21,1,2.5,0,NaN
20041214,518,21,21,1,2.5,0,NaN
20041215,1469,21,21,1,2.5,0,NaN
20041216,1987,21,21,1,4.4,2.2,NaN
20041217,950,21,21,1,4.1,9,NaN
20041218,1814,21,21,1,3.8,0.9,NaN
20041219,3629,21,21,1,1,0.5,NaN
20041220,3629,21,21,1,1.7,0.1,NaN
20041221,3024,21,21,1,1.7,0,NaN
20041222,173,21,21,1,5.4,3.8,NaN
20041223,778,21,21,1,6.4,0.7,NaN
20041224,2765,21,21,1,5.8,10.7,NaN
20041225,2592,21,21,1,3.7,4.3,NaN
20041226,1296,21,21,1,0.9,0,NaN
20041227,2160,21,21,1,1.5,0,NaN
20041228,778,21,21,1,4,7.7,NaN
20041229,3197,21,21,1,1.8,1.4,NaN
20041230,259,21,21,1,4.3,0.2,NaN
20041231,432,21,21,1,4.2,2.3,NaN
20050101,1296,21,21,1,4.2,1.7,NaN
20050102,1555,21,21,1,6.1,0.1,NaN
20050103,778,21,21,1,5.1,0,NaN
20050104,605,21,21,1,6.5,2,NaN
20050105,1555,21,21,1,3.8,2,NaN
20050106,3283,21,21,1,4.8,1,NaN
20050107,778,21,21,1,6.9,0,NaN
20050108,1901,21,21,1,8.5,0.2,NaN
20050109,3197,21,21,1,5.4,0.2,NaN
20050110,3197,21,21,1,5.5,1.9,NaN
20050111,2592,21,21,1,4.9,1.6,NaN
20050112,3456,21,21,1,5.2,1.3,NaN
20050113,2592,21,21,1,4,0,NaN
20050114,4147,21,21,1,1.3,0,NaN
20050115,4838,21,21,1,2.5,0.1,NaN
20050116,4493,21,21,1,2.3,0,NaN
20050117,1728,21,21,1,5.3,5.4,NaN
20050118,1382,21,21,1,3.7,9,NaN
20050119,2765,21,21,1,4.5,1.2,NaN
20050120,1037,21,21,1,7.7,13.2,NaN
20050121,3283,21,21,1,6,4.1,NaN
20050122,4234,21,21,1,2.4,1.6,NaN
20050123,4234,21,21,1,2.5,2.6,NaN
20050124,4493,21,21,1,2.1,1.6,NaN
20050125,3802,21,21,1,1.7,0.6,NaN
20050126,4579,21,21,1,1.8,0,NaN
20050127,1901,21,21,1,1.2,0,NaN
20050128,1382,21,21,1,1.3,0,NaN
20050129,2592,21,21,1,1.8,0.2,NaN
20050130,1987,21,21,1,1.9,1.6,NaN
20050131,1469,21,21,1,4.2,5,NaN
20050201,3888,21,21,1,2.9,0.2,NaN
20050202,3197,21,21,1,3.3,1.7,NaN
20050203,5011,21,21,1,2.1,0,NaN
20050204,3715,21,21,1,1.7,0,NaN
20050205,6739,21,21,1,3.2,0,NaN
20050206,6998,21,21,1,2.9,0,NaN
20050207,7171,21,21,1,2,0,NaN
20050208,6566,21,21,1,1.8,0,NaN
20050209,5270,21,21,1,3.1,1.1,NaN
20050210,605,21,21,1,5.2,17.6,NaN
20050211,3629,21,21,1,1.3,2.8,NaN
20050212,1382,21,21,1,7.7,21.6,NaN
20050213,5098,21,21,1,5.2,7.8,NaN
20050214,4666,21,21,1,3.8,3.1,NaN
20050215,1728,21,21,1,3.2,0,NaN
20050216,7171,21,21,1,2.6,0,NaN
20050217,4147,21,21,1,1,0,NaN
20050218,1987,21,21,1,3.7,1.8,NaN
20050219,4925,21,21,1,2.4,3.6,NaN
20050220,5616,21,21,1,2.6,0.9,NaN
20050221,6480,21,21,1,3.2,2.9,NaN
20050222,4579,21,21,1,3.6,0.6,NaN
20050223,2678,21,21,1,1.6,0.8,NaN
20050224,6134,21,21,1,2.3,0.4,NaN
20050225,7171,21,21,1,1.4,0,NaN
20050226,1901,21,21,1,2.1,0,NaN
20050227,9763,21,21,1,3.1,0,NaN
20050228,11664,21,21,1,2.2,0,NaN
20050301,3197,21,21,1,5.2,1.3,NaN
20050302,3110,21,21,1,3.1,4.3,NaN
20050303,5962,21,21,1,2.5,2.6,NaN
20050304,8381,21,21,1,2.2,0.6,NaN
20050305,7171,21,21,1,2.9,2.5,NaN
20050306,10714,21,21,1,2.5,2,NaN
20050307,7517,21,21,1,2.5,2.3,NaN
20050308,5184,21,21,1,3.6,0.7,NaN
20050309,5875,21,21,1,2.5,0.6,NaN
20050310,9072,21,21,1,1.8,0,NaN
20050311,1123,21,21,1,6.2,6.3,NaN
20050312,6480,21,21,1,5.4,8.1,NaN
20050313,8122,21,21,1,4.1,0.5,NaN
20050314,5443,21,21,1,2.6,0,NaN
20050315,11146,21,21,1,4.1,0,NaN
20050316,11837,21,21,1,4.8,1.3,NaN
20050317,4579,21,21,1,7.5,0,NaN
20050318,2678,21,21,1,4.4,0,NaN
20050319,4493,21,21,1,2,0.5,NaN
20050320,13565,21,21,1,2.9,0,NaN
20050321,15120,21,21,1,4.2,0,NaN
20050322,9590,21,21,1,3.9,2.3,NaN
20050323,15120,21,21,1,2.1,0,NaN
20050324,11059,21,21,1,3.7,3.6,NaN
20050325,11146,21,21,1,2.4,0.5,NaN
20050326,11664,21,21,1,1.8,0,NaN
20050327,9504,21,21,1,2.8,7.1,NaN
20050328,6653,21,21,1,2.6,2.6,NaN
20050329,7690,21,21,1,2,0,NaN
20050330,9590,21,21,1,3.5,0,NaN
20050331,15984,21,21,1,3.1,0.9,NaN
20050401,17626,21,21,1,3,0,NaN
20050402,19267,21,21,1,3.6,0,NaN
20050403,17798,21,21,1,2.5,0,NaN
20050404,14083,21,21,1,3.1,4.6,NaN
20050405,16070,21,21,1,3,0.5,NaN
20050406,9504,21,21,1,3.8,1.4,NaN
20050407,11578,21,21,1,5.7,2.4,NaN
20050408,13392,21,21,1,3.5,21.5,NaN
20050409,12701,21,21,1,3.4,4.5,NaN
20050410,8122,21,21,1,2.8,0.8,NaN
20050411,18144,21,21,1,1.7,0,NaN
20050412,15898,21,21,1,1.4,0,NaN
20050413,5875,21,21,1,2.9,7.3,NaN
20050414,11232,21,21,1,2.8,1.6,NaN
20050415,12701,21,21,1,3,0.9,NaN
20050416,4147,21,21,1,2.6,6.5,NaN
20050417,19008,21,21,1,2.1,0,NaN
20050418,10886,21,21,1,2.3,0.7,NaN
20050419,5875,21,21,1,1.5,16.9,NaN
20050420,14342,21,21,1,2.3,2.5,NaN
20050421,22378,21,21,1,2,0,NaN
20050422,22723,21,21,1,1.5,0,NaN
20050423,22637,21,21,1,1.7,0,NaN
20050424,17885,21,21,1,2.6,0,NaN
20050425,15638,21,21,1,2.7,0,NaN
20050426,8986,21,21,1,1.4,3.4,NaN
20050427,18576,21,21,1,3.8,5.4,NaN
20050428,15552,21,21,1,2,0,NaN
20050429,11405,21,21,1,2.1,8.9,NaN
20050430,9850,21,21,1,1.4,0.1,NaN
20050501,20045,21,21,1,2.2,0,NaN
20050502,7776,21,21,1,1.3,1.6,NaN
20050503,8986,21,21,1,1.6,9.2,NaN
20050504,10195,21,21,1,2.5,2.3,NaN
20050505,16330,21,21,1,2.9,4.1,NaN
20050506,15898,21,21,1,3.9,0.2,NaN
20050507,9677,21,21,1,2.5,8.5,NaN
20050508,17971,21,21,1,2.6,2,NaN
20050509,17194,21,21,1,2.7,4.1,NaN
20050510,17021,21,21,1,2.3,1.4,NaN
20050511,19958,21,21,1,1.8,1.1,NaN
20050512,22810,21,21,1,2.9,0,NaN
20050513,18662,21,21,1,3.4,0,NaN
20050514,21859,21,21,1,2.6,0,NaN
20050515,14083,21,21,1,2.1,6.9,NaN
20050516,12096,21,21,1,1.7,2,NaN
20050517,19699,21,21,1,1.5,0,NaN
20050518,24710,21,21,1,1,0,NaN
20050519,20045,21,21,1,3.1,0.7,NaN
20050520,12960,21,21,1,3.3,4.9,NaN
20050521,20822,21,21,1,2.7,8.2,NaN
20050522,26006,21,21,1,2.9,0,NaN
20050523,23414,21,21,1,3.3,0,NaN
20050524,14515,21,21,1,3.5,0.1,NaN
20050525,22896,21,21,1,2.7,0,NaN
20050526,23933,21,21,1,2.6,0,NaN
20050527,26698,21,21,1,2,0,NaN
20050528,26093,21,21,1,3.3,0,NaN
20050529,20650,21,21,1,1.8,1.2,NaN
20050530,4666,21,21,1,1.4,6.1,NaN
20050531,20995,21,21,1,2.5,0,NaN
20050601,26611,21,21,1,1.6,0,NaN
20050602,8899,21,21,1,3.1,0.4,NaN
20050603,18662,21,21,1,2.7,6.6,NaN
20050604,11578,21,21,1,5.3,3.2,NaN
20050605,11232,21,21,1,3.8,5.5,NaN
20050606,13219,21,21,1,2,0.3,NaN
20050607,15811,21,21,1,2,0.4,NaN
20050608,27043,21,21,1,1.4,0,NaN
20050609,24797,21,21,1,1.2,0,NaN
20050610,23414,21,21,1,1.9,0,NaN
20050611,17539,21,21,1,2.2,0,NaN
20050612,13651,21,21,1,2.5,7.2,NaN
20050613,20909,21,21,1,3.1,9.2,NaN
20050614,29030,21,21,1,2.2,0,NaN
20050615,22464,21,21,1,2.5,0,NaN
20050616,21773,21,21,1,3.7,0.3,NaN
20050617,10800,21,21,1,3.3,0,NaN
20050618,28771,21,21,1,2,0,NaN
20050619,29635,21,21,1,2.6,0,NaN
20050620,27821,21,21,1,2.2,0,NaN
20050621,22896,21,21,1,1.8,0,NaN
20050622,19958,21,21,1,1.1,0,NaN
20050623,27994,21,21,1,1.8,0,NaN
20050624,26266,21,21,1,1.2,0,NaN
20050625,8467,21,21,1,1.8,2.3,NaN
20050626,25402,21,21,1,1.5,0,NaN
20050627,27734,21,21,1,1.5,0,NaN
20050628,29203,21,21,1,2.2,0,NaN
20050629,16157,21,21,1,2,6.8,NaN
20050630,13306,21,21,1,1.7,10.3,NaN
20050701,16934,21,21,1,2.7,1,NaN
20050702,8813,21,21,1,1.6,0.2,NaN
20050703,22723,21,21,1,1.7,0.2,NaN
20050704,10800,21,21,1,3.7,16.3,NaN
20050705,15206,21,21,1,3.2,1.2,NaN
20050706,10627,21,21,1,2.9,6.9,NaN
20050707,16934,21,21,1,1.1,0,NaN
20050708,9763,21,21,1,1,3.9,NaN
20050709,23242,21,21,1,1.6,0,NaN
20050710,24451,21,21,1,1.9,0,NaN
20050711,24451,21,21,1,1.9,0,NaN
20050712,24365,21,21,1,1.7,0,NaN
20050713,25834,21,21,1,1.5,0,NaN
20050714,25661,21,21,1,1.1,0,NaN
20050715,22291,21,21,1,2.6,0,NaN
20050716,20045,21,21,1,1.1,0,NaN
20050717,20390,21,21,1,1.2,0,NaN
20050718,17194,21,21,1,2,0,NaN
20050719,19267,21,21,1,5,0.1,NaN
20050720,14256,21,21,1,4.9,5.5,NaN
20050721,7430,21,21,1,4.6,0,NaN
20050722,7776,21,21,1,2.9,2.1,NaN
20050723,12096,21,21,1,2.6,0.4,NaN
20050724,15034,21,21,1,2,2.3,NaN
20050725,10368,21,21,1,2.3,10.9,NaN
20050726,11059,21,21,1,1.7,2,NaN
20050727,8986,21,21,1,1.8,8.9,NaN
20050728,20131,21,21,1,1.4,1.5,NaN
20050729,14429,21,21,1,1.9,4.5,NaN
20050730,14861,21,21,1,3.1,23.7,NaN
20050731,7690,21,21,1,4,8.2,NaN
20050801,13133,21,21,1,1.6,0,NaN
20050802,22291,21,21,1,1.2,0,NaN
20050803,15638,21,21,1,1.8,3.1,NaN
20050804,23242,21,21,1,2.8,0,NaN
20050805,7258,21,21,1,2.7,7.8,NaN
20050806,14256,21,21,1,1.7,4.8,NaN
20050807,18144,21,21,1,2.6,7.5,NaN
20050808,14256,21,21,1,2.8,1,NaN
20050809,13392,21,21,1,2.7,0,NaN
20050810,14342,21,21,1,2.8,0,NaN
20050811,12701,21,21,1,1.8,0,NaN
20050812,8035,21,21,1,1.6,15.9,NaN
20050813,15293,21,21,1,2,0.3,NaN
20050814,13392,21,21,1,3.5,12.8,NaN
20050815,7517,21,21,1,2,0.2,NaN
20050816,16243,21,21,1,0.9,0,NaN
20050817,22723,21,21,1,1.8,0,NaN
20050818,21427,21,21,1,2.7,0,NaN
20050819,12960,21,21,1,2,0,NaN
20050820,11405,21,21,1,1.6,0,NaN
20050821,14170,21,21,1,1.3,0,NaN
