Date,Photosynthetic rate,Transpiration rate,Transpiration rate(gram),Total conductance,Solar radiation,Maximum solar radiation,Minimum solar radiation,Vapor pressure deficit,Maximum vapor pressure deficit,Minimum vapor pressure deficit,Vapor pressure deficit(gram),Maximum vapor pressure deficit(gram),Minimum vapor pressure deficit(gram),Temperature outside chamber,Maximum temperature outside chamber,Minimum temperature outside chamber,Temperature inside chamber,Maximum temperature inside chamber,CO2 concentration air sampling average,Maximum CO2 concentration air sampling average,Minimum CO2 concentration air sampling average
2019/12/26 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/26 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/27 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/28 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/29 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/30 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2019/12/31 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/01 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/02 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/03 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/04 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/05 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/06 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/07 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/08 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 13:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 15:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 17:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 19:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 21:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/09 23:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/10 01:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/10 03:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/10 05:00:00 JST,0.2,0.4,0.001,18,0,0,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/10 07:00:00 JST,0.2,0.4,0.001,18,100,100,0,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/10 09:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
2020/01/10 11:00:00 JST,0.2,0.4,0.001,18,100,100,30,4,4,5,4,4,4,17,17.5,20,17.3,17,650,650,500
